date,workflow,runs
2026-08-07,CI,84
2026-08-07,CodeQL,64
2026-08-07,Dependabot Updates,10
2026-08-07,Docs,4
2026-08-07,Release,4
2026-08-07,release-please,22
2026-08-08,CI,106
2026-08-08,CodeQL,72
2026-08-08,Dependabot auto-merge,11
2026-08-08,Docs,2
2026-08-08,Mutation testing,2
2026-08-08,Release,2
2026-08-08,nuget stats,2
2026-08-08,release-please,27
2026-08-09,CI,127
2026-08-09,CodeQL,97
2026-08-09,Dependabot Updates,15
2026-08-09,Dependabot auto-merge,52
2026-08-09,Docs,15
2026-08-09,Install smoke test,7
2026-08-09,Mutation testing,1
2026-08-09,Release,15
2026-08-09,nuget stats,1
2026-08-09,release-please,45
2026-08-10,CI,20
2026-08-10,CodeQL,16
2026-08-10,Dependabot Updates,5
2026-08-10,Dependabot auto-merge,8
2026-08-10,Dependency report,1
2026-08-10,Docs,6
2026-08-10,Install smoke test,4
2026-08-10,Mutation testing,1
2026-08-10,Release,6
2026-08-10,nuget stats,1
2026-08-10,release-please,7
2026-08-11,CI,22
2026-08-11,CodeQL,17
2026-08-11,Dependabot auto-merge,11
2026-08-11,nuget stats,1
2026-08-11,release-please,6
2026-08-12,CI,23
2026-08-12,CodeQL,19
2026-08-12,Dependabot auto-merge,10
2026-08-12,Docs,6
2026-08-12,Install smoke test,3
2026-08-12,Release,6
2026-08-12,nuget stats,1
2026-08-12,release-please,9
